Date,Temperature(Min)
6/14/2018,5.4
6/15/2018,4.4
6/16/2018,6.4
6/17/2018,9.3
6/18/2018,7.7
6/19/2018,8.1
6/20/2018,8.3
6/21/2018,9.1
6/22/2018,7.7
6/23/2018,10.6
6/24/2018,8.2
6/25/2018,7.9
6/26/2018,5.2
6/27/2018,5.9
6/28/2018,3.7
6/29/2018,5.6
6/30/2018,9.4
7/1/2018,7.4
7/2/2018,7.3
7/3/2018,7.7
7/4/2018,7.7
7/5/2018,9.3
7/6/2018,4.4
7/7/2018,5.7
7/8/2018,10.2
7/9/2018,10.2
7/10/2018,9.3
7/11/2018,5.4
7/12/2018,5
7/13/2018,7.6
7/14/2018,9.6
7/15/2018,10.4
7/16/2018,11.2
7/17/2018,9.1
7/18/2018,11.2
7/19/2018,6.8
7/20/2018,8.3
7/21/2018,9.7
7/22/2018,9.6
7/23/2018,9.8
7/24/2018,10.8
7/25/2018,9.2
7/26/2018,6.5
7/27/2018,8.1
7/28/2018,7.3
7/29/2018,7.9
7/30/2018,6
7/31/2018,5
8/1/2018,6.8
8/2/2018,9.8
8/3/2018,5.7
8/4/2018,8.6
8/5/2018,10.6
8/6/2018,7.8
8/7/2018,7.7
8/8/2018,8.6
8/9/2018,6.5
8/10/2018,6.9
8/11/2018,6.4
8/12/2018,8.5
8/13/2018,7.8
8/14/2018,9.3
8/15/2018,8.4
8/16/2018,7.8
8/17/2018,7.4
8/18/2018,7.7
8/19/2018,8.9
8/20/2018,9.7
8/21/2018,9.9
8/22/2018,6.1
8/23/2018,6.6
8/24/2018,7.6
8/25/2018,7.4
8/26/2018,8
8/27/2018,2.1
8/28/2018,5.9
8/29/2018,11.6
8/30/2018,8.6
8/31/2018,7.9
9/1/2018,6
9/2/2018,9.5
9/3/2018,8.6
9/4/2018,7.6
9/5/2018,10.4
9/6/2018,10.3
9/7/2018,7.5
9/8/2018,3
9/9/2018,5.3
9/10/2018,10.5
9/11/2018,14.6
9/12/2018,12.6
9/13/2018,9.8
9/14/2018,7.2
9/15/2018,10.1
9/16/2018,10.4
9/17/2018,3.7
9/18/2018,7.3
9/19/2018,11.6
9/20/2018,16.3
9/21/2018,9.6
9/22/2018,6.8
9/23/2018,5.2
9/24/2018,10.6
9/25/2018,16.3
9/26/2018,9.8
9/27/2018,4.6
9/28/2018,11.1
9/29/2018,8.7
9/30/2018,10
10/1/2018,11.3
10/2/2018,10.5
10/3/2018,9.9
10/4/2018,11
10/5/2018,14
10/6/2018,9.2
10/7/2018,9.8
10/8/2018,6
10/9/2018,9.8
10/10/2018,9.2
10/11/2018,11.8
10/12/2018,10.3
10/13/2018,7.5
10/14/2018,7.7
10/15/2018,15.8
10/16/2018,14.6
10/17/2018,10.5
10/18/2018,11.3
10/19/2018,10.9
10/20/2018,6.4
10/21/2018,10.9
10/22/2018,9
10/23/2018,10.9
10/24/2018,12.4
10/25/2018,11.6
10/26/2018,13.3
10/27/2018,14.4
10/28/2018,18.4
10/29/2018,13.6
10/30/2018,14.9
10/31/2018,14.8
11/1/2018,15.4
11/2/2018,11.8
11/3/2018,13
11/4/2018,11.1
11/5/2018,12.5
11/6/2018,18.3
11/7/2018,19.2
11/8/2018,15.4
11/9/2018,13.1
11/10/2018,11.5
11/11/2018,8.6
11/12/2018,12.6
11/13/2018,13.8
11/14/2018,14.6
11/15/2018,13.2
11/16/2018,12.3
11/17/2018,8.8
11/18/2018,10.7
11/19/2018,9.9
11/20/2018,8.3
11/21/2018,15
11/22/2018,12.2
11/23/2018,10.5
11/24/2018,11.1
11/25/2018,13
11/26/2018,12.9
11/27/2018,8.8
11/28/2018,14.7
11/29/2018,14.7
11/30/2018,12.7
12/1/2018,13.3
12/2/2018,13.2
12/3/2018,16.2
12/4/2018,17.3
12/5/2018,20.5
12/6/2018,20.2
12/7/2018,19.4
12/8/2018,15.5
12/9/2018,14.1
12/10/2018,11
12/11/2018,11.1
12/12/2018,14
12/13/2018,11.4
12/14/2018,12.5
12/15/2018,13.4
12/16/2018,13.6
12/17/2018,13.9
12/18/2018,17.2
12/19/2018,14.7
12/20/2018,15.4
12/21/2018,13.1
12/22/2018,13.2
12/23/2018,13.9
12/24/2018,10
12/25/2018,12.9
12/26/2018,14.6
12/27/2018,14
12/28/2018,13.6
12/29/2018,13.5
12/30/2018,15.7
12/31/2018,13
